lat,lon,elevation_m,distance_km
36.547952,-116.890514,-69.1,49.507
36.548996,-116.891195,-69.2,49.638
36.549397,-116.891444,-69.3,49.688
36.549819,-116.891684,-69.4,49.739
36.550208,-116.891876,-69.5,49.786
36.550748,-116.892107,-69.6,49.849
36.551011,-116.892198,-69.7,49.88
36.551234,-116.89226,-69.8,49.905
36.551792,-116.892388,-69.9,49.968
36.553517,-116.892699,-70.0,50.162
36.553793,-116.892768,-70.1,50.193
36.553998,-116.892831,-70.2,50.217
36.554204,-116.892902,-70.3,50.241
36.554529,-116.893035,-70.4,50.279
36.554949,-116.89324,-70.5,50.329
36.555857,-116.893712,-70.6,50.438
36.556198,-116.893943,-70.7,50.481
36.556428,-116.894117,-70.8,50.511
36.556602,-116.894263,-70.9,50.535
36.556777,-116.894436,-71.0,50.56
36.557038,-116.894739,-71.1,50.599
36.557245,-116.895021,-71.2,50.633
36.557441,-116.895317,-71.3,50.668
36.557622,-116.895658,-71.4,50.704
36.55775,-116.895937,-71.5,50.733
36.557875,-116.896256,-71.5,50.765
36.558612,-116.898305,-71.5,50.965
36.558883,-116.899,-71.5,51.034
36.559091,-116.899527,-71.5,51.087
36.559458,-116.900366,-71.5,51.172
36.560109,-116.901712,-71.5,51.312
36.561176,-116.903879,-71.5,51.539
36.561413,-116.904331,-71.5,51.587
36.561675,-116.904797,-71.5,51.638
36.561968,-116.905251,-71.5,51.69
36.562269,-116.905671,-71.5,51.741
36.562682,-116.906159,-71.5,51.804
36.562969,-116.906458,-71.5,51.845
36.5634,-116.90688,-71.6,51.906
36.563781,-116.907219,-71.6,51.958
36.564199,-116.907582,-71.6,52.015
36.564498,-116.907803,-71.6,52.054
36.564768,-116.907965,-71.6,52.087
